rank,entry,entry_type,frequency_band,category,usage_note
873,I'm taking a shower.,phrase,High,Home and daily life,Natural phrase people use in conversation
874,I'm waking up early.,phrase,High,Home and daily life,Natural phrase people use in conversation
875,I'm watching TV.,phrase,High,Home and daily life,Natural phrase people use in conversation
876,I'm working.,phrase,High,Home and daily life,Natural phrase people use in conversation
877,It's too cold in here.,phrase,High,Home and daily life,Natural phrase people use in conversation
878,It's too hot in here.,phrase,High,Home and daily life,Natural phrase people use in conversation
879,The food is getting cold.,phrase,High,Home and daily life,Natural phrase people use in conversation
880,The kitchen is clean.,phrase,High,Home and daily life,Natural phrase people use in conversation
881,The room is messy.,phrase,High,Home and daily life,Natural phrase people use in conversation
882,Where are my keys?,phrase,High,Home and daily life,Natural phrase people use in conversation
883,Where is my phone?,phrase,High,Home and daily life,Natural phrase people use in conversation
884,Where is my wallet?,phrase,High,Home and daily life,Natural phrase people use in conversation
885,Where is the remote?,phrase,High,Home and daily life,Natural phrase people use in conversation
886,I don't care either way.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
887,I don't feel like it.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
888,I don't have a favorite.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
889,I don't like crowded places.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
890,I don't like it.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
891,I hate it.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
892,I like it.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
893,I like simple things.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
894,I like spicy food.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
895,I love it.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
896,I prefer quiet places.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
897,I prefer taking a taxi.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
898,I prefer that one.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
899,I prefer this one.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
900,I prefer walking.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
901,I think it's fine.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
902,I think it's too much.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
903,I think we should ask.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
904,I think we should go.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
905,I think we should wait.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
906,I would rather go out.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
907,I would rather stay home.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
908,I'm not a fan of this.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
909,It doesn't feel right.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
910,It feels right.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
911,It sounds good.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
912,It's up to you.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
913,That is worse.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
914,That looks expensive.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
915,That's exactly my style.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
916,That's not my style.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
917,This is better.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
918,This is my favorite.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
919,This looks nice.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
920,Whatever you prefer.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
921,You decide.,phrase,High,Opinions and preferences,Natural phrase people use in conversation
922,Almost there.,phrase,High,Phone and texting,Short casual message people actually send
923,Another time.,phrase,High,Phone and texting,Short casual message people actually send
924,Any updates?,phrase,High,Phone and texting,Short casual message people actually send
925,Back now.,phrase,High,Phone and texting,Short casual message people actually send
926,Be right back.,phrase,High,Phone and texting,Short casual message people actually send
927,Call you later.,phrase,High,Phone and texting,Short casual message people actually send
928,Change of plans.,phrase,High,Phone and texting,Short casual message people actually send
929,Come outside.,phrase,High,Phone and texting,Short casual message people actually send
930,Deal.,phrase,High,Phone and texting,Short casual message people actually send
931,Drink water.,phrase,High,Phone and texting,Short casual message people actually send
932,Eat something.,phrase,High,Phone and texting,Short casual message people actually send
933,Fine by me.,phrase,High,Phone and texting,Short casual message people actually send
934,Got home safe.,phrase,High,Phone and texting,Short casual message people actually send
935,Have fun.,phrase,High,Phone and texting,Short casual message people actually send
936,I remember now.,phrase,High,Phone and texting,Short casual message people actually send
937,I’ll ask.,phrase,High,Phone and texting,Short casual message people actually send
938,I’ll be careful.,phrase,High,Phone and texting,Short casual message people actually send
939,I’ll check.,phrase,High,Phone and texting,Short casual message people actually send
940,I’ll confirm.,phrase,High,Phone and texting,Short casual message people actually send
941,I’ll explain later.,phrase,High,Phone and texting,Short casual message people actually send
942,I’m here.,phrase,High,Phone and texting,Short casual message people actually send
943,I’m outside.,phrase,High,Phone and texting,Short casual message people actually send
944,I’m too tired.,phrase,High,Phone and texting,Short casual message people actually send
945,Let’s not.,phrase,High,Phone and texting,Short casual message people actually send
946,Looks fine to me.,phrase,High,Phone and texting,Short casual message people actually send
947,Looks good.,phrase,High,Phone and texting,Short casual message people actually send
948,Looks great.,phrase,High,Phone and texting,Short casual message people actually send
949,Love you.,phrase,High,Phone and texting,Short casual message people actually send
950,Made it home.,phrase,High,Phone and texting,Short casual message people actually send
951,Maybe tomorrow.,phrase,High,Phone and texting,Short casual message people actually send
952,Miss you.,phrase,High,Phone and texting,Short casual message people actually send
953,On my way.,phrase,High,Phone and texting,Short casual message people actually send
954,Open the door.,phrase,High,Phone and texting,Short casual message people actually send
955,Perfect.,phrase,High,Phone and texting,Short casual message people actually send
956,Proud of you.,phrase,High,Phone and texting,Short casual message people actually send
957,Rest well.,phrase,High,Phone and texting,Short casual message people actually send
958,Running late.,phrase,High,Phone and texting,Short casual message people actually send
959,Safe travels.,phrase,High,Phone and texting,Short casual message people actually send
960,Same plan?,phrase,High,Phone and texting,Short casual message people actually send
961,Send pics.,phrase,High,Phone and texting,Short casual message people actually send
962,Sleep soon.,phrase,High,Phone and texting,Short casual message people actually send
963,Text me.,phrase,High,Phone and texting,Short casual message people actually send
964,Up to you.,phrase,High,Phone and texting,Short casual message people actually send
965,What’s the plan?,phrase,High,Phone and texting,Short casual message people actually send
966,You got this.,phrase,High,Phone and texting,Short casual message people actually send
967,Your call.,phrase,High,Phone and texting,Short casual message people actually send
968,Are you free this weekend?,phrase,High,Planning and invitations,Natural phrase people use in conversation
969,Are you free today?,phrase,High,Planning and invitations,Natural phrase people use in conversation
970,Are you free tomorrow?,phrase,High,Planning and invitations,Natural phrase people use in conversation
971,Can we do another day?,phrase,High,Planning and invitations,Natural phrase people use in conversation
972,Can we make it earlier?,phrase,High,Planning and invitations,Natural phrase people use in conversation
973,Can we make it later?,phrase,High,Planning and invitations,Natural phrase people use in conversation
974,Can we meet somewhere else?,phrase,High,Planning and invitations,Natural phrase people use in conversation
975,Can we move it to tomorrow?,phrase,High,Planning and invitations,Natural phrase people use in conversation
976,Do you want to come over?,phrase,High,Planning and invitations,Natural phrase people use in conversation
977,Do you want to get dinner?,phrase,High,Planning and invitations,Natural phrase people use in conversation
978,Do you want to go out?,phrase,High,Planning and invitations,Natural phrase people use in conversation
979,Do you want to grab coffee?,phrase,High,Planning and invitations,Natural phrase people use in conversation
980,Do you want to have lunch?,phrase,High,Planning and invitations,Natural phrase people use in conversation
981,Do you want to meet?,phrase,High,Planning and invitations,Natural phrase people use in conversation
982,I can make it.,phrase,High,Planning and invitations,Natural phrase people use in conversation
983,I can't make it.,phrase,High,Planning and invitations,Natural phrase people use in conversation
984,I'll be there in ten minutes.,phrase,High,Planning and invitations,Natural phrase people use in conversation
985,I'll be there soon.,phrase,High,Planning and invitations,Natural phrase people use in conversation
986,I'll call you.,phrase,High,Planning and invitations,Natural phrase people use in conversation
987,I'll check my schedule.,phrase,High,Planning and invitations,Natural phrase people use in conversation
988,I'll let you know.,phrase,High,Planning and invitations,Natural phrase people use in conversation
989,I'll send you the address.,phrase,High,Planning and invitations,Natural phrase people use in conversation
990,I'll text you.,phrase,High,Planning and invitations,Natural phrase people use in conversation
991,I'm almost there.,phrase,High,Planning and invitations,Natural phrase people use in conversation
992,I'm available after work.,phrase,High,Planning and invitations,Natural phrase people use in conversation
993,I'm busy this week.,phrase,High,Planning and invitations,Natural phrase people use in conversation
994,I'm free in the evening.,phrase,High,Planning and invitations,Natural phrase people use in conversation
995,I'm running a bit late.,phrase,High,Planning and invitations,Natural phrase people use in conversation
996,I'm stuck in traffic.,phrase,High,Planning and invitations,Natural phrase people use in conversation
997,Let's decide later.,phrase,High,Planning and invitations,Natural phrase people use in conversation
998,Let's do it.,phrase,High,Planning and invitations,Natural phrase people use in conversation
999,Let's go together.,phrase,High,Planning and invitations,Natural phrase people use in conversation
1000,Let's keep it simple.,phrase,High,Planning and invitations,Natural phrase people use in conversation
1001,Let's make a plan.,phrase,High,Planning and invitations,Natural phrase people use in conversation
1002,Let's meet at seven.,phrase,High,Planning and invitations,Natural phrase people use in conversation
1003,Let's meet later.,phrase,High,Planning and invitations,Natural phrase people use in conversation
1004,Let's meet tomorrow.,phrase,High,Planning and invitations,Natural phrase people use in conversation
1005,Let's not do it.,phrase,High,Planning and invitations,Natural phrase people use in conversation
1006,Should we meet there?,phrase,High,Planning and invitations,Natural phrase people use in conversation
1007,"Sorry, I'm late.",phrase,High,Planning and invitations,Natural phrase people use in conversation
1008,Thanks for waiting.,phrase,High,Planning and invitations,Natural phrase people use in conversation
1009,What day works for you?,phrase,High,Planning and invitations,Natural phrase people use in conversation
1010,What time works for you?,phrase,High,Planning and invitations,Natural phrase people use in conversation
1011,Where should we meet?,phrase,High,Planning and invitations,Natural phrase people use in conversation
1012,Can I charge my phone here?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1013,Can I close the door?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1014,Can I get one of these?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1015,Can I have this?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1016,Can I open the window?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1017,Can you give me a hand?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1018,Can you hold this for a second?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1019,Can you pass me the salt?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1020,Can you send me the address?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1021,Can you share your location?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1022,Can you take a picture of us?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1023,Can you wait for me?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1024,"Could you help me, please?",phrase,High,Polite requests,Natural phrase people use in conversation or travel
1025,Could you lower the volume?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1026,Could you please move your bag?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1027,Could you turn it down?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1028,Could you turn it up?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1029,Do you mind if I ask something?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1030,Do you mind if I call you later?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1031,Please be careful.,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1032,Please don’t tell anyone.,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1033,Please don’t worry.,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1034,Please go ahead.,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1035,Please keep it between us.,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1036,Please remind me later.,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1037,Please send it again.,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1038,Please wait here.,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1039,Would it be okay if I joined you?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1040,Would you mind taking a photo?,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1041,You first.,phrase,High,Polite requests,Natural phrase people use in conversation or travel
1042,After you.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1043,Can I ask you a question?,phrase,High,Politeness and softening,Natural phrase people use in conversation
1044,Can you help me?,phrase,High,Politeness and softening,Natural phrase people use in conversation
1045,"Can you repeat that, please?",phrase,High,Politeness and softening,Natural phrase people use in conversation
1046,Could you please help me?,phrase,High,Politeness and softening,Natural phrase people use in conversation
1047,Could you say that again?,phrase,High,Politeness and softening,Natural phrase people use in conversation
1048,Could you show me?,phrase,High,Politeness and softening,Natural phrase people use in conversation
1049,Could you speak a little slower?,phrase,High,Politeness and softening,Natural phrase people use in conversation
1050,Could you write it down?,phrase,High,Politeness and softening,Natural phrase people use in conversation
1051,Excuse me.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1052,Go ahead.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1053,I appreciate it.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1054,I don't want to bother you.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1055,I just wanted to ask.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1056,I just wanted to check.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1057,I really appreciate it.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1058,I'm really sorry.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1059,I'm sorry.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1060,Is it okay if I sit here?,phrase,High,Politeness and softening,Natural phrase people use in conversation
1061,Is this seat taken?,phrase,High,Politeness and softening,Natural phrase people use in conversation
1062,Let me know if that works.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1063,Let me know what you think.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1064,May I ask something?,phrase,High,Politeness and softening,Natural phrase people use in conversation
1065,No rush.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1066,Pardon me.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1067,Please let me know.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1068,Please.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1069,Sorry about that.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1070,Sorry to bother you.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1071,"Sorry, I didn't catch that.",phrase,High,Politeness and softening,Natural phrase people use in conversation
1072,"Sorry, what was that?",phrase,High,Politeness and softening,Natural phrase people use in conversation
1073,Sorry.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1074,Take your time.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1075,Thank you so much.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1076,Thank you.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1077,Thanks a lot.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1078,Thanks for letting me know.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1079,Thanks for your help.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1080,That's very kind of you.,phrase,High,Politeness and softening,Natural phrase people use in conversation
1081,Would that be okay?,phrase,High,Politeness and softening,Natural phrase people use in conversation
1082,Would you mind helping me?,phrase,High,Politeness and softening,Natural phrase people use in conversation
1083,All good.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1084,Can you say that again?,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1085,Come again?,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1086,Count me in.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1087,Count me out.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1088,I don’t get it.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1089,I missed that.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1090,I see what you mean.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1091,"I wasn’t listening, sorry.",phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1092,It’s nothing.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1093,I’m alright.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1094,I’m down.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1095,I’m fine.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1096,I’m good.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1097,I’m in.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1098,I’m not feeling it.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1099,I’m out.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1100,I’m up for it.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1101,My bad.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1102,Oh really?,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1103,Pretty much.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1104,"Sorry, what?",phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1105,Sure thing.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1106,That sounds hard.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1107,That’s crazy.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1108,That’s on me.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1109,True.,phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1110,"Wait, what?",phrase,High,Quick replies and reactions,Natural phrase people use in conversation or travel
1111,Absolutely.,phrase,High,Quick responses,Natural phrase people use in conversation
1112,Anytime.,phrase,High,Quick responses,Natural phrase people use in conversation
1113,Definitely.,phrase,High,Quick responses,Natural phrase people use in conversation
1114,Don't worry about it.,phrase,High,Quick responses,Natural phrase people use in conversation
1115,Exactly.,phrase,High,Quick responses,Natural phrase people use in conversation
1116,Fair enough.,phrase,High,Quick responses,Natural phrase people use in conversation
1117,Forget it.,phrase,High,Quick responses,Natural phrase people use in conversation
1118,Good point.,phrase,High,Quick responses,Natural phrase people use in conversation
1119,Got it.,phrase,High,Quick responses,Natural phrase people use in conversation
1120,I agree.,phrase,High,Quick responses,Natural phrase people use in conversation
1121,I disagree.,phrase,High,Quick responses,Natural phrase people use in conversation
1122,I don't care.,phrase,High,Quick responses,Natural phrase people use in conversation
1123,I don't mind.,phrase,High,Quick responses,Natural phrase people use in conversation
1124,I don't think so.,phrase,High,Quick responses,Natural phrase people use in conversation
1125,I get it.,phrase,High,Quick responses,Natural phrase people use in conversation
1126,I guess so.,phrase,High,Quick responses,Natural phrase people use in conversation
1127,I hope not.,phrase,High,Quick responses,Natural phrase people use in conversation
1128,I hope so.,phrase,High,Quick responses,Natural phrase people use in conversation
1129,I see.,phrase,High,Quick responses,Natural phrase people use in conversation
1130,I think so.,phrase,High,Quick responses,Natural phrase people use in conversation
1131,I understand.,phrase,High,Quick responses,Natural phrase people use in conversation
1132,I'm coming.,phrase,High,Quick responses,Natural phrase people use in conversation
1133,I'm not ready.,phrase,High,Quick responses,Natural phrase people use in conversation
1134,I'm not sure.,phrase,High,Quick responses,Natural phrase people use in conversation
1135,I'm on my way.,phrase,High,Quick responses,Natural phrase people use in conversation
1136,I'm ready.,phrase,High,Quick responses,Natural phrase people use in conversation
1137,It depends.,phrase,High,Quick responses,Natural phrase people use in conversation
1138,It doesn't matter.,phrase,High,Quick responses,Natural phrase people use in conversation
1139,It's fine.,phrase,High,Quick responses,Natural phrase people use in conversation
1140,It's okay.,phrase,High,Quick responses,Natural phrase people use in conversation
1141,Let's see.,phrase,High,Quick responses,Natural phrase people use in conversation
1142,Maybe.,phrase,High,Quick responses,Natural phrase people use in conversation
1143,My pleasure.,phrase,High,Quick responses,Natural phrase people use in conversation
1144,Never mind.,phrase,High,Quick responses,Natural phrase people use in conversation
1145,No problem.,phrase,High,Quick responses,Natural phrase people use in conversation
1146,No worries.,phrase,High,Quick responses,Natural phrase people use in conversation
1147,No.,phrase,High,Quick responses,Natural phrase people use in conversation
1148,Not really.,phrase,High,Quick responses,Natural phrase people use in conversation
1149,Of course.,phrase,High,Quick responses,Natural phrase people use in conversation
1150,Probably.,phrase,High,Quick responses,Natural phrase people use in conversation
1151,Right.,phrase,High,Quick responses,Natural phrase people use in conversation
1152,Sounds good.,phrase,High,Quick responses,Natural phrase people use in conversation
1153,Sounds great.,phrase,High,Quick responses,Natural phrase people use in conversation
1154,Sounds perfect.,phrase,High,Quick responses,Natural phrase people use in conversation
1155,Sure.,phrase,High,Quick responses,Natural phrase people use in conversation
1156,That works.,phrase,High,Quick responses,Natural phrase people use in conversation
1157,That's fine.,phrase,High,Quick responses,Natural phrase people use in conversation
1158,That's okay.,phrase,High,Quick responses,Natural phrase people use in conversation
1159,That's right.,phrase,High,Quick responses,Natural phrase people use in conversation
1160,That's true.,phrase,High,Quick responses,Natural phrase people use in conversation
1161,We'll see.,phrase,High,Quick responses,Natural phrase people use in conversation
1162,Works for me.,phrase,High,Quick responses,Natural phrase people use in conversation
1163,Yes.,phrase,High,Quick responses,Natural phrase people use in conversation
1164,You're right.,phrase,High,Quick responses,Natural phrase people use in conversation
1165,You're welcome.,phrase,High,Quick responses,Natural phrase people use in conversation
1166,Congratulations.,phrase,High,Small talk,Natural phrase people use in conversation
1167,Did you eat?,phrase,High,Small talk,Natural phrase people use in conversation
1168,Did you get home safely?,phrase,High,Small talk,Natural phrase people use in conversation
1169,Did you sleep well?,phrase,High,Small talk,Natural phrase people use in conversation
1170,Do you come here often?,phrase,High,Small talk,Natural phrase people use in conversation
1171,Get well soon.,phrase,High,Small talk,Natural phrase people use in conversation
1172,Good luck.,phrase,High,Small talk,Natural phrase people use in conversation
1173,Happy birthday.,phrase,High,Small talk,Natural phrase people use in conversation
1174,Have you been here before?,phrase,High,Small talk,Natural phrase people use in conversation
1175,How did it go?,phrase,High,Small talk,Natural phrase people use in conversation
1176,How long have you been here?,phrase,High,Small talk,Natural phrase people use in conversation
1177,How was the food?,phrase,High,Small talk,Natural phrase people use in conversation
1178,How was the movie?,phrase,High,Small talk,Natural phrase people use in conversation
1179,How was work?,phrase,High,Small talk,Natural phrase people use in conversation
1180,How was your day?,phrase,High,Small talk,Natural phrase people use in conversation
1181,How was your trip?,phrase,High,Small talk,Natural phrase people use in conversation
1182,How was your weekend?,phrase,High,Small talk,Natural phrase people use in conversation
1183,I like your bag.,phrase,High,Small talk,Natural phrase people use in conversation
1184,I like your jacket.,phrase,High,Small talk,Natural phrase people use in conversation
1185,Is this your first time here?,phrase,High,Small talk,Natural phrase people use in conversation
1186,It's raining a lot.,phrase,High,Small talk,Natural phrase people use in conversation
1187,It's really cold today.,phrase,High,Small talk,Natural phrase people use in conversation
1188,It's really hot today.,phrase,High,Small talk,Natural phrase people use in conversation
1189,That must be exciting.,phrase,High,Small talk,Natural phrase people use in conversation
1190,That must be hard.,phrase,High,Small talk,Natural phrase people use in conversation
1191,That sounds fun.,phrase,High,Small talk,Natural phrase people use in conversation
1192,That sounds stressful.,phrase,High,Small talk,Natural phrase people use in conversation
1193,The traffic is terrible.,phrase,High,Small talk,Natural phrase people use in conversation
1194,The weather is nice today.,phrase,High,Small talk,Natural phrase people use in conversation
1195,This place is busy.,phrase,High,Small talk,Natural phrase people use in conversation
1196,This place is quiet.,phrase,High,Small talk,Natural phrase people use in conversation
1197,What are you doing later?,phrase,High,Small talk,Natural phrase people use in conversation
1198,What are your plans today?,phrase,High,Small talk,Natural phrase people use in conversation
1199,What do you do?,phrase,High,Small talk,Natural phrase people use in conversation
1200,Where are you from?,phrase,High,Small talk,Natural phrase people use in conversation
1201,Where do you live?,phrase,High,Small talk,Natural phrase people use in conversation
1202,You look happy.,phrase,High,Small talk,Natural phrase people use in conversation
1203,You look nice.,phrase,High,Small talk,Natural phrase people use in conversation
1204,You look tired.,phrase,High,Small talk,Natural phrase people use in conversation
1205,across,word,Medium,Direction words,Common standalone word used in daily conversation
1206,behind,word,Medium,Direction words,Common standalone word used in daily conversation
1207,beside,word,Medium,Direction words,Common standalone word used in daily conversation
1208,block,word,Medium,Direction words,Common standalone word used in daily conversation
1209,corner,word,Medium,Direction words,Common standalone word used in daily conversation
1210,downstairs,word,Medium,Direction words,Common standalone word used in daily conversation
1211,east,word,Medium,Direction words,Common standalone word used in daily conversation
1212,forward,word,Medium,Direction words,Common standalone word used in daily conversation
1213,inside,word,Medium,Direction words,Common standalone word used in daily conversation
1214,north,word,Medium,Direction words,Common standalone word used in daily conversation
1215,opposite,word,Medium,Direction words,Common standalone word used in daily conversation
1216,outside,word,Medium,Direction words,Common standalone word used in daily conversation
1217,south,word,Medium,Direction words,Common standalone word used in daily conversation
1218,straight,word,Medium,Direction words,Common standalone word used in daily conversation
1219,upstairs,word,Medium,Direction words,Common standalone word used in daily conversation
1220,west,word,Medium,Direction words,Common standalone word used in daily conversation
1221,bandage,word,Medium,Everyday objects,Common standalone word used in daily conversation
1222,boardingpass,word,Medium,Everyday objects,Common standalone word used in daily conversation
1223,bottle,word,Medium,Everyday objects,Common standalone word used in daily conversation
1224,cable,word,Medium,Everyday objects,Common standalone word used in daily conversation
1225,coin,word,Medium,Everyday objects,Common standalone word used in daily conversation
1226,cup,word,Medium,Everyday objects,Common standalone word used in daily conversation
1227,deodorant,word,Medium,Everyday objects,Common standalone word used in daily conversation
1228,escalator,word,Medium,Everyday objects,Common standalone word used in daily conversation
1229,fan,word,Medium,Everyday objects,Common standalone word used in daily conversation
1230,fork,word,Medium,Everyday objects,Common standalone word used in daily conversation
1231,fridge,word,Medium,Everyday objects,Common standalone word used in daily conversation
1232,glass,word,Medium,Everyday objects,Common standalone word used in daily conversation
1233,headphones,word,Medium,Everyday objects,Common standalone word used in daily conversation
1234,heater,word,Medium,Everyday objects,Common standalone word used in daily conversation
1235,jeans,word,Medium,Everyday objects,Common standalone word used in daily conversation
1236,kettle,word,Medium,Everyday objects,Common standalone word used in daily conversation
1237,keys,word,Medium,Everyday objects,Common standalone word used in daily conversation
1238,knife,word,Medium,Everyday objects,Common standalone word used in daily conversation
1239,mask,word,Medium,Everyday objects,Common standalone word used in daily conversation
1240,microwave,word,Medium,Everyday objects,Common standalone word used in daily conversation
1241,mirror,word,Medium,Everyday objects,Common standalone word used in daily conversation
1242,napkin,word,Medium,Everyday objects,Common standalone word used in daily conversation
1243,oven,word,Medium,Everyday objects,Common standalone word used in daily conversation
1244,plate,word,Medium,Everyday objects,Common standalone word used in daily conversation
1245,remote,word,Medium,Everyday objects,Common standalone word used in daily conversation
1246,sink,word,Medium,Everyday objects,Common standalone word used in daily conversation
1247,sofa,word,Medium,Everyday objects,Common standalone word used in daily conversation
1248,spoon,word,Medium,Everyday objects,Common standalone word used in daily conversation
1249,stove,word,Medium,Everyday objects,Common standalone word used in daily conversation
1250,tissue,word,Medium,Everyday objects,Common standalone word used in daily conversation
1251,wipes,word,Medium,Everyday objects,Common standalone word used in daily conversation
1252,apple,word,Medium,Food and drink,Common standalone word used in daily conversation
1253,banana,word,Medium,Food and drink,Common standalone word used in daily conversation
1254,beef,word,Medium,Food and drink,Common standalone word used in daily conversation
1255,burger,word,Medium,Food and drink,Common standalone word used in daily conversation
1256,butter,word,Medium,Food and drink,Common standalone word used in daily conversation
1257,cake,word,Medium,Food and drink,Common standalone word used in daily conversation
1258,cheese,word,Medium,Food and drink,Common standalone word used in daily conversation
1259,chocolate,word,Medium,Food and drink,Common standalone word used in daily conversation
